planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,distance_lightyears,num_stars,num_planets
11 Com b,11 Com,Radial Velocity,2007.0,323.21,12.2,4914.89848585,803.26,93.1846,2,1
11 UMi b,11 UMi,Radial Velocity,2009.0,516.21997,12.3,4684.8142,896.43,125.321,1,1
14 And b,14 And,Radial Velocity,2008.0,186.76,13.1,1131.15130051,909.92,75.4392,1,1
14 Her b,14 Her,Radial Velocity,2002.0,1766.41,12.5,2828.6728223,147.32,17.9323,1,2
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,798.5,13.5,565.7374,228.76,21.1397,3,1
17 Sco b,17 Sco,Radial Velocity,2020.0,578.38,12.9,1373.01871824,847.51,124.953,1,1
18 Del b,18 Del,Radial Velocity,2008.0,982.85,12.5,2926.24614325,452.72,76.222,2,1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,10.671380845,18.647,3000.0,1700.0,139.135,1,1
24 Boo b,24 Boo,Radial Velocity,2018.0,30.33,13.9,280.64248338,1840.86,95.9863,1,1
24 Sex b,24 Sex,Radial Velocity,2010.0,452.8,13.4,632.46,471.32,72.0691,1,2
24 Sex c,24 Sex,Radial Velocity,2010.0,883.0,13.9,273.32,377.31,72.0691,1,2
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,10.671380845,13.0,1271.313628,1450.0,128.484,1,1
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,10.671380845,12.3,4131.79,757.0,47.2,2,1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,10.671380845,11.209,7786.5,1600.0,33.8281,1,1
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,10.671380845,16.14096,4417.837,6.27,40.08964117,1,1
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018.0,10.671380845,17.37392009,3616.88727166,1723.0,66.0613,2,1
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024.0,10.671380845,12.2,5720.911326,2369.0,117.435,1,1
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010.0,10.671380845,12.6,2383.6,17.6,120.42398696,1,1
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024.0,10.671380845,11.9,8899.195396,2677.0,366.987,1,1
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024.0,10.671380845,12.1,6356.56814,2506.0,100.862,1,1
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004.0,10.671380845,15.69257298,1652.7077164,1163.0,64.308,1,1
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015.0,406.0,13.4,603.877,669.65,396.332,2,3
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024.0,10.671380845,12.4,3813.940884,1616.0,34.1154,1,1
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016.0,10.671380845,12.3,3972.875,10.3,69.5737,1,1
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018.0,10.671380845,11.9,9534.85221,1600.0,57.2309,1,1
4 UMa b,4 UMa,Radial Velocity,2006.0,270.27,12.6,2511.48007211,967.44,73.4603,1,1
47 UMa b,47 UMa,Radial Velocity,1996.0,1078.0,13.2,804.08,215.23,13.7967,1,3
47 UMa c,47 UMa,Radial Velocity,2001.0,2391.0,14.2,171.621,164.38,13.7967,1,3
47 UMa d,47 UMa,Radial Velocity,2009.0,14002.0,13.5,521.22,91.58,13.7967,1,3
51 Peg b,51 Peg,Radial Velocity,1995.0,4.230785,14.3,146.2018,1311.39,15.4614,1,1
55 Cnc B b,55 Cnc B,Radial Velocity,2025.0,6.7994,1.69,3.5,395.41,12.4773,2,7
55 Cnc B c,55 Cnc B,Radial Velocity,2025.0,33.747,2.16,5.3,230.04,12.4773,2,7
55 Cnc b,55 Cnc,Radial Velocity,1996.0,14.651552,13.9,263.9785,700.0,12.5855,2,7
55 Cnc c,55 Cnc,Radial Velocity,2004.0,44.3936,8.51,54.4738,499.27,12.5855,2,7
55 Cnc d,55 Cnc,Radial Velocity,2002.0,4799.0,13.0,1232.493,104.85,12.5855,2,7
55 Cnc e,55 Cnc,Radial Velocity,2004.0,0.7365474,1.875,7.99,1958.0,12.5855,2,7
55 Cnc f,55 Cnc,Radial Velocity,2007.0,260.58,7.59,44.812,277.07,12.5855,2,7
6 Lyn b,6 Lyn,Radial Velocity,2008.0,919.86,13.4,597.83523357,371.86,54.6599,1,1
61 Vir b,61 Vir,Radial Velocity,2009.0,4.215,2.11,5.1,1177.85,8.50332,1,3
61 Vir c,61 Vir,Radial Velocity,2009.0,38.021,4.46,18.2,565.87,8.50332,1,3
61 Vir d,61 Vir,Radial Velocity,2009.0,123.01,5.11,22.9,382.51,8.50332,1,3
7 CMa b,7 CMa,Radial Velocity,2011.0,735.1,13.4,587.9855,387.33,19.8101,1,2
7 CMa c,7 CMa,Radial Velocity,2019.0,996.0,13.9,276.5121,350.0,19.8101,1,2
70 Vir b,70 Vir,Radial Velocity,1996.0,116.688,12.6,2380.45,525.24,17.9011,1,1
75 Cet b,75 Cet,Radial Velocity,2012.0,696.62,13.3,787.89662095,540.31,82.9613,2,2
75 Cet c,75 Cet,Radial Velocity,2023.0,2051.62,13.9,289.85950718,376.92,82.9613,2,2
8 UMi b,8 UMi,Radial Velocity,2015.0,93.31,13.5,524.41687155,1126.38,162.552,1,1
81 Cet b,81 Cet,Radial Velocity,2008.0,1005.57,13.1,1051.05854195,526.92,101.26,1,1
91 Aqr b,91 Aqr,Radial Velocity,2013.0,181.4,13.1,1017.0,891.73,44.0304,3,1
AB Aur b,AB Aur,Imaging,2022.0,10.671380845,12.5,2860.455663,83.63,162.127,1,1
AB Pic b,AB Pic,Imaging,2005.0,10.671380845,12.3,4290.5,15.8,50.0475,1,1
AF Lep b,AF Lep,Imaging,2023.0,8905.0,13.0,1147.36054927,1400.0,26.8564,1,1
AT2021ueyL b,AT2021ueyL,Microlensing,2025.0,4168.69,13.6,425.89006538,757.0,1040.0,1,1
AU Mic b,AU Mic,Transit,2020.0,8.463446,4.79,8.99,554.8,9.7221,1,4
AU Mic c,AU Mic,Transit,2021.0,18.859023,2.79,14.46,424.7,9.7221,1,4
AU Mic d,AU Mic,Transit Timing Variations,2023.0,12.73596,1.02,1.053,757.0,9.7221,1,4
AU Mic e,AU Mic,Radial Velocity,2025.0,33.11,4.87,21.1,757.0,9.7221,1,4
BD+03 2562 b,BD+03 2562,Radial Velocity,2017.0,481.9,12.7,2034.112,985.04,1070.63,1,1
BD+14 4559 b,BD+14 4559,Radial Velocity,2009.0,268.94,13.8,330.5432,246.28,49.352,1,1
BD+15 2375 b,BD+15 2375,Radial Velocity,2016.0,153.22,13.8,337.21763,883.68,768.045,1,1
BD+15 2940 b,BD+15 2940,Radial Velocity,2013.0,137.48,13.7,352.78,1207.75,426.42,1,1
BD+20 2457 b,BD+20 2457,Radial Velocity,2009.0,379.63,12.1,6807.63,1159.67,1539.71,1,2
BD+20 2457 c,BD+20 2457,Radial Velocity,2009.0,621.99,12.4,3963.17,984.96,1539.71,1,2
BD+20 274 b,BD+20 274,Radial Velocity,2012.0,578.2,13.0,1334.886,755.7,1322.51,1,1
BD+20 594 b,BD+20 594,Transit,2016.0,41.6855,2.57807,22.2481,546.0,179.461,1,1
BD+37 3172 b,BD+37 3172,Radial Velocity,2023.0,1887.76,12.4,3368.9811142,713.25,454.251,1,1
BD+42 2315 b,BD+42 2315,Radial Velocity,2023.0,123.05,14.2,174.80562385,1247.58,610.715,1,1
BD+45 564 b,BD+45 564,Radial Velocity,2021.0,307.88,13.6,432.24663352,238.82,53.622,1,1
BD+48 738 b,BD+48 738,Radial Velocity,2011.0,392.6,13.9,289.2253,705.93,871.493,1,1
BD+48 740 b,BD+48 740,Radial Velocity,2018.0,733.0,13.5,540.311,538.94,666.589,1,1
BD+49 828 b,BD+49 828,Radial Velocity,2015.0,2590.0,13.5,508.5,320.63,442.042,1,1
BD+55 362 b,BD+55 362,Radial Velocity,2021.0,265.59,14.0,228.83645304,259.06,52.5697,1,1
BD+60 1417 b,BD+60 1417,Imaging,2021.0,10.671380845,14.68376472,4767.426105,1303.0,44.9543,1,1
BD+63 1405 b,BD+63 1405,Radial Velocity,2021.0,1198.48,12.4,3305.4154328,150.69,38.0473,1,1
BD-06 1339 c,BD-06 1339,Radial Velocity,2013.0,125.94,8.38,53.0,261.91,20.2695,1,2
BD-08 2823 c,BD-08 2823,Radial Velocity,2009.0,237.6,12.5,104.0,233.85,41.3342,1,2
BD-10 3166 b,BD-10 3166,Radial Velocity,2000.0,3.48777,14.1,187.5197,1240.38,84.4069,1,1
BD-11 4672 b,BD-11 4672,Radial Velocity,2014.0,1634.0,14.1,206.5895,114.17,27.1665,1,2
BD-11 4672 c,BD-11 4672,Radial Velocity,2020.0,74.2,4.04,15.37,320.21,27.1665,1,2
BD-13 2130 b,BD-13 2130,Radial Velocity,2007.0,714.29999,12.5,3108.3774,744.77,925.214,1,1
BD-14 3065 b,BD-14 3065 A,Transit,2024.0,4.2889731,21.59,3932.0,2001.0,589.423,3,1
BD-17 63 b,BD-17 63,Radial Velocity,2008.0,655.57,12.8,1639.99458012,168.92,34.4603,1,1
BD-210397 b,BD-210397,Radial Velocity,2023.0,1891.0,14.0,214.0,104.11,23.7324,1,2
BD-210397 c,BD-210397,Radial Velocity,2023.0,6240.0,12.9,1525.5763536,69.51,23.7324,1,2
BEBOP-3 b,BEBOP-3,Radial Velocity,2025.0,547.0,14.2,177.34825111,287.88,119.052,2,1
Barnard b,Barnard's star,Radial Velocity,2024.0,3.1542,0.72,0.299,438.0,1.82655,1,4
Barnard c,Barnard's star,Radial Velocity,2025.0,4.1244,0.743,0.335,400.0,1.82655,1,4
Barnard d,Barnard's star,Radial Velocity,2025.0,2.3402,0.694,0.263,483.0,1.82655,1,4
Barnard e,Barnard's star,Radial Velocity,2025.0,6.7392,0.637,0.193,340.0,1.82655,1,4
CD Cet b,CD Cet,Radial Velocity,2020.0,2.2907,1.82,3.95,464.0,8.60715,1,1
CD-35 2722 b,CD-35 2722,Imaging,2011.0,10.671380845,17.37392009,9375.9380065,1800.0,22.3896,1,1
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011.0,10037.5,12.4,3337.1,370.0,23.1,1,1
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2020.0,8040000.0,20.8487041,2479.0615746,1800.0,366.987,1,1
CHXR 73 b,CHXR 73,Imaging,2006.0,10.671380845,12.3,3994.486,757.0,190.374,1,1
CI Tau c,CI Tau,Radial Velocity,2024.0,25.2,13.0,1144.1822652,610.62,157.998,1,1
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021.0,402000000.0,12.57647635,2383.7130525,493.0,10.8864,1,1
CT Cha b,CT Cha,Imaging,2007.0,10.671380845,24.66,5403.0,2600.0,190.72,1,1
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,Imaging,2025.0,10.671380845,12.2,4926.3403085,390.0,14.43,1,1
CoRoT-1 b,CoRoT-1,Transit,2008.0,1.5089557,16.7,327.35,1898.0,787.909,1,1
CoRoT-10 b,CoRoT-10,Transit,2010.0,13.2406,10.87,874.0,600.0,338.386,1,1
CoRoT-11 b,CoRoT-11,Transit,2010.0,2.99433,16.03,740.51,1657.0,655.037,1,1
CoRoT-12 b,CoRoT-12,Transit,2010.0,2.828042,16.14,291.438,1442.0,1126.37,1,1
CoRoT-13 b,CoRoT-13,Transit,2010.0,4.03519,9.92,415.704,1700.0,1148.93,1,1
CoRoT-14 b,CoRoT-14,Transit,2010.0,1.51214,12.22,2415.4,1952.0,1744.6,1,1
CoRoT-16 b,CoRoT-16,Transit,2011.0,5.35227,13.11,170.032,1195.53,732.409,1,1
CoRoT-17 b,CoRoT-17,Transit,2011.0,3.7681,11.43,772.29,1626.0,1176.12,1,1
CoRoT-18 b,CoRoT-18,Transit,2011.0,1.9000693,14.68,1102.82,1550.0,764.889,1,1
CoRoT-19 b,CoRoT-19,Transit,2011.0,3.89713,14.46,352.78,2000.0,790.663,1,1
CoRoT-2 b,CoRoT-2,Transit,2008.0,1.7429935,16.432,1102.82,1521.0,213.283,2,1
CoRoT-20 b,CoRoT-20,Transit,2011.0,9.24285,9.41556,1366.669,1024.0,844.061,1,2
CoRoT-20 c,CoRoT-20,Radial Velocity,2018.0,1675.0,12.2,5403.11,168.16,844.061,1,2
CoRoT-21 b,CoRoT-21,Transit,2012.0,2.72474,14.5717,718.2958,2044.44,1398.83419686,1,1
CoRoT-22 b,CoRoT-22,Transit,2014.0,9.75598,4.88,12.2,885.0,627.158,1,1
CoRoT-23 b,CoRoT-23,Transit,2011.0,3.6313,11.77,889.9,1660.0,1060.97,1,1
CoRoT-24 b,CoRoT-24,Transit,2014.0,5.1134,3.7,5.7,1070.0,591.555,1,2
CoRoT-24 c,CoRoT-24,Transit,2014.0,11.759,5.0,28.0,850.0,591.555,1,2
CoRoT-25 b,CoRoT-25,Transit,2013.0,4.86069,12.11,85.81,1330.0,1103.48,1,1
CoRoT-26 b,CoRoT-26,Transit,2013.0,4.20474,14.12,165.26,1600.0,1045.18,1,1
CoRoT-27 b,CoRoT-27,Transit,2014.0,3.57532,11.287,3302.11,1500.0,1010.28,1,1
CoRoT-28 b,CoRoT-28,Transit,2015.0,5.20851,10.704595,153.82972,1349.25,766.183,1,1
CoRoT-29 b,CoRoT-29,Transit,2015.0,2.85057,10.0881,270.1555,1224.75,806.507,1,1
CoRoT-3 b,CoRoT-3,Transit,2008.0,4.2568,11.32,6883.91,1695.0,768.771,1,1
CoRoT-30 b,CoRoT-30,Transit,2020.0,9.06005,11.309881,921.707,894.6,1032.23,1,1
CoRoT-31 b,CoRoT-31,Transit,2020.0,4.62941,16.36514,266.9772,1664.86,2005.76,1,1
CoRoT-32 b,CoRoT-32,Transit,2018.0,6.71837,6.38913,47.6745,938.0,576.683,1,1
CoRoT-35 b,CoRoT-35,Transit,2022.0,3.22748,18.83108758,349.6112477,1747.0,1123.21,1,1
CoRoT-36 b,CoRoT-36,Transit,2022.0,5.616531,15.80466279,216.12331676,1567.0,925.958,1,1
CoRoT-4 b,CoRoT-4,Transit,2008.0,9.20205,13.34,228.83,1074.0,726.412,1,1
CoRoT-5 b,CoRoT-5,Transit,2009.0,4.0378962,15.558,148.42,1438.0,882.472,1,1
CoRoT-6 b,CoRoT-6,Transit,2009.0,8.886593,13.068,940.74,1017.0,645.294,1,1
CoRoT-7 b,CoRoT-7,Transit,2009.0,0.85359163,1.68135,4.07660518,1756.0,159.906,1,3
CoRoT-7 c,CoRoT-7,Radial Velocity,2009.0,3.698,2.83,8.4,1098.59,159.906,1,3
CoRoT-7 d,CoRoT-7,Radial Velocity,2022.0,8.966,4.31,17.142,757.0,159.906,1,3
CoRoT-8 b,CoRoT-8,Transit,2010.0,6.21229,6.39,69.92,870.0,322.037,1,1
CoRoT-9 b,CoRoT-9,Transit,2009.0,95.272656,11.948794,266.9772,420.0,412.98,2,1
DE CVn b,DE CVn,Eclipse Timing Variations,2018.0,4098.1,12.4,3823.27330161,46.91,30.5225,2,1
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,2013.0,246.36,11.9,9057.77,757.0,20.77,1,1
DH Tau b,DH Tau,Imaging,2004.0,10.671380845,30.2643,3496.0,2200.0,134.846,1,1
DMPP-1 b,DMPP-1,Radial Velocity,2019.0,17.812,4.26,16.8,877.0,62.5388,1,4
DMPP-1 c,DMPP-1,Radial Velocity,2019.0,10.03,3.31,10.94,1239.0,62.5388,1,4
DMPP-1 d,DMPP-1,Radial Velocity,2019.0,3.1417,2.02,4.72,1632.0,62.5388,1,4
DMPP-1 e,DMPP-1,Radial Velocity,2019.0,5.516,1.86,4.13,1314.0,62.5388,1,4
DMPP-2 b,DMPP-2,Radial Velocity,2019.0,5.203,14.2,171.48,1000.0,137.94,1,3
DMPP-2 c,DMPP-2,Radial Velocity,2026.0,3.168,8.26,51.79,1910.88,137.94,1,3
DMPP-2 d,DMPP-2,Radial Velocity,2026.0,16.491,11.6,91.79,1105.06,137.94,1,3
DMPP-3 A b,DMPP-3 A,Radial Velocity,2019.0,5.59,1.44,2.67,854.0,46.8917,2,1
DMPP-4 b,DMPP-4,Radial Velocity,2023.0,3.4982,3.53,12.2,1645.69,25.3284,1,1
DMPP-6 b,DMPP-6,Radial Velocity,2026.0,7.6027,2.28,5.8,1203.65,54.6303,1,2
DMPP-6 c,DMPP-6,Radial Velocity,2026.0,36.441,3.74,13.47,715.27,54.6303,1,2
DMPP-7 b,DMPP-7,Radial Velocity,2026.0,4.984,9.13,61.39,1480.51,101.386,1,1
DMPP-8 b,DMPP-8,Radial Velocity,2026.0,62.915,10.8,81.09,579.7,76.1335,1,1
DMPP-9 b,DMPP-9,Radial Velocity,2026.0,12.733,3.89,14.43,995.58,109.539,1,1
DP Leo b,DP Leo,Eclipse Timing Variations,2009.0,10220.0,12.7,1995.88832,24.39,305.684,2,1
DS Tuc A b,DS Tuc A,Transit,2019.0,8.138268,5.7,413.179,850.0,44.0622,2,1
EPIC 201170410.02,EPIC 201170410,Transit,2020.0,6.7987,1.047,1.15,500.03,134.0,1,1
EPIC 201238110 b,EPIC 201238110,Transit,2019.0,28.1656,1.87,4.16,757.0,159.259,1,1
EPIC 201427007 b,EPIC 201427007,Transit,2021.0,0.72091,1.5,2.86,757.0,706.391,1,1
EPIC 201497682 b,EPIC 201497682,Transit,2019.0,2.13174,0.692,0.26,757.0,253.026,1,1
EPIC 201595106 b,EPIC 201595106,Transit,2021.0,0.87724,1.565,7.67,2038.0,232.1,1,2
EPIC 201615463 c,K2-166,Transit,2019.0,3.80464,1.22,1.98,757.0,476.882,1,2
EPIC 201754305 d,K2-16,Transit,2019.0,2.71578,1.03,1.08,757.0,334.967,1,3
EPIC 201757695.02,EPIC 201757695,Transit,2020.0,2.0478,0.90819,0.688,1025.29,577.6,1,1
EPIC 201833600 c,K2-50,Transit,2019.0,3.96151,1.0,0.972,757.0,257.443,1,2
EPIC 201841433 b,EPIC 201841433,Transit,2019.0,4.1698,1.04,1.12,1032.49,436.488,1,1
EPIC 205950854 c,K2-168,Transit,2019.0,8.050722,1.31,2.27,960.6,243.935,1,2
EPIC 206024342 b,EPIC 206024342,Transit,2019.0,4.50756,1.7,3.53,757.0,369.888,1,3
EPIC 206024342 c,EPIC 206024342,Transit,2021.0,0.911724,1.4,2.54,757.0,369.888,1,3
EPIC 206024342 d,EPIC 206024342,Transit,2021.0,14.647531,2.6,7.27,757.0,369.888,1,3
EPIC 206032309 b,EPIC 206032309,Transit,2019.0,2.87814,1.01,1.01,757.0,161.365,1,1
EPIC 206042996 b,EPIC 206042996,Transit,2019.0,5.2986,1.7,3.53,757.0,451.769,1,2
EPIC 206042996 c,EPIC 206042996,Transit,2021.0,0.354884,1.2,1.87,757.0,451.769,1,2
EPIC 206215704 b,EPIC 206215704,Transit,2019.0,2.255436,1.0,0.972,757.0,109.888,1,1
EPIC 206317286 b,EPIC 206317286,Transit,2019.0,1.58252,0.96,0.84,757.0,314.35,1,2
EPIC 206317286 c,EPIC 206317286,Transit,2022.0,17.515472,2.094,5.03,757.0,314.35,1,2
EPIC 211822797 b,EPIC 211822797,Transit,2016.0,21.1701963,1.92,4.35,431.0,186.197,1,1
EPIC 211945201 b,EPIC 211945201,Transit,2018.0,19.49221,5.76,11.0,817.0,181.69,1,1
EPIC 212297394 b,EPIC 212297394,Transit,2019.0,2.289363,1.48,2.79,1149.0,418.395,1,2
EPIC 212297394 c,EPIC 212297394,Transit,2021.0,5.213965,2.27,5.77,866.0,418.395,1,2
EPIC 212424622 b,EPIC 212424622,Transit,2019.0,18.0983,2.17,5.35,757.0,611.804,1,1
EPIC 212499991 b,EPIC 212499991,Transit,2019.0,34.885,1.6,3.19,757.0,283.29,1,1
EPIC 212587672 b,EPIC 212587672,Transit,2019.0,15.28078,1.26,2.13,756.0,320.07,1,2
EPIC 212587672 c,EPIC 212587672,Transit,2021.0,23.228555,2.32,5.99,658.0,320.07,1,2
EPIC 212624936 b,EPIC 212624936,Transit,2021.0,0.578657,1.2,1.87,757.0,561.929,1,2
EPIC 212624936 c,EPIC 212624936,Transit,2021.0,11.811437,2.3,5.9,757.0,561.929,1,2
EPIC 212737443 b,EPIC 212737443,Transit,2019.0,13.603,2.586,7.2,536.0,336.25,1,2
EPIC 212737443 c,EPIC 212737443,Transit,2019.0,65.55,2.69,7.7,316.0,336.25,1,2
EPIC 220492298 b,EPIC 220492298,Transit,2021.0,0.762406,0.99,0.937,757.0,624.512,1,1
EPIC 220554210 c,K2-282,Transit,2019.0,0.70531,1.6,3.19,757.0,496.289,1,2
EPIC 220674823 b,EPIC 220674823,Transit,2016.0,0.57130782,1.606,7.54,2324.0,244.59,1,2
EPIC 220674823 c,EPIC 220674823,Transit,2016.0,13.340603,2.712,7.9,838.0,244.59,1,2
EPIC 228836835 b,EPIC 228836835,Transit,2021.0,0.728113,1.1,1.37,932.0,150.124,1,1
EPIC 229004835 b,EPIC 229004835,Transit,2023.0,16.141132,2.332,10.4,804.0,121.971,1,1
EPIC 246851721 b,EPIC 246851721,Transit,2018.0,6.180235,11.780659,953.49,1401.0,372.632,2,1
EPIC 248847494 b,EPIC 248847494,Transit,2018.0,3650.0,12.44199,4131.79,183.0,551.886,1,1
EPIC 249893012 b,EPIC 249893012,Transit,2020.0,3.5951,1.95,8.75,1616.0,321.296,1,3
EPIC 249893012 c,EPIC 249893012,Transit,2020.0,15.624,3.67,14.67,990.0,321.296,1,3
EPIC 249893012 d,EPIC 249893012,Transit,2020.0,35.747,3.94,10.18,752.0,321.296,1,3
FU Tau b,FU Tau,Imaging,2008.0,10.671380845,12.2,5085.28,2375.0,133.4950466,1,1
G 192-15 b,G 192-15,Radial Velocity,2025.0,2.27476,1.02,1.03,453.6,9.53114,1,2
G 192-15 c,G 192-15,Radial Velocity,2025.0,1219.0,3.87,14.3,55.9,9.53114,1,2
G 196-3 b,G 196-3,Imaging,2024.0,10.671380845,12.0,8263.538582,1670.0,21.7912,1,1
G 261-6 b,G 261-6,Radial Velocity,2025.0,5.4536,1.1,1.37,322.3,10.6267,1,1
G 264-012 b,G 264-012,Radial Velocity,2021.0,2.30538,1.39,2.5,587.0,16.009,1,2
G 264-012 c,G 264-012,Radial Velocity,2021.0,8.0518,1.76,3.75,387.0,16.009,1,2
G 268-110 b,G 268-110,Radial Velocity,2025.0,1.43263,1.13,1.52,534.0,366.987,1,1
G 9-40 b,G 9-40,Transit,2019.0,5.7459982,1.9,4.0,440.6,27.9276,1,1
GJ 1002 b,GJ 1002,Radial Velocity,2022.0,10.3465,1.03,1.08,230.9,4.84867,1,2
GJ 1002 c,GJ 1002,Radial Velocity,2022.0,21.202,1.1,1.36,181.7,4.84867,1,2
GJ 1061 b,GJ 1061,Radial Velocity,2020.0,3.2073,1.04,1.11,388.11,3.67278,1,3
GJ 1061 c,GJ 1061,Radial Velocity,2020.0,6.6821,1.19,1.81,304.12,3.67278,1,3
GJ 1061 d,GJ 1061,Radial Velocity,2020.0,13.066,1.16,1.67,242.03,3.67278,1,3
GJ 1132 b,GJ 1132,Transit,2015.0,1.62892911,1.19151465,1.83704819,583.8,12.613,1,2
GJ 1132 c,GJ 1132,Radial Velocity,2018.0,8.929,1.52,2.91,300.0,12.613,1,2
GJ 1137 c,HD 93083,Radial Velocity,2026.0,9.6412,2.11,5.12,768.51,28.5159,1,2
GJ 1148 b,GJ 1148,Radial Velocity,2010.0,41.38,11.9,96.7,232.94,11.0143,1,2
GJ 1148 c,GJ 1148,Radial Velocity,2017.0,532.58,9.71,68.06,99.38,11.0143,1,2
GJ 1151 c,GJ 1151,Radial Velocity,2023.0,389.7,3.25,10.62,88.3,8.03625,1,1
GJ 1214 b,GJ 1214,Transit,2009.0,1.580404531,2.733,8.41,567.0,14.6427,1,1
GJ 1252 b,GJ 1252,Transit,2020.0,0.5182331,1.193,1.32,1090.0,20.373,1,1
GJ 1265 b,GJ 1265,Radial Velocity,2018.0,3.6511,2.63,7.4,424.04,10.2525,1,1
GJ 1289 b,GJ 1289,Radial Velocity,2024.0,111.74,2.38,6.27,150.0,8.35147,1,1
GJ 143 b,GJ 143,Transit,2019.0,35.61253,2.61,22.7,422.0,16.32,1,2
GJ 15 A b,GJ 15 A,Radial Velocity,2014.0,11.4407,1.55,3.03,550.0,3.56228,2,2
GJ 15 A c,GJ 15 A,Radial Velocity,2018.0,7600.0,6.67,36.0,46.14,3.56228,2,2
GJ 160.2 b,GJ 160.2,Radial Velocity,2014.0,5.2354,3.17,10.2,736.99,25.8557,1,1
GJ 163 b,GJ 163,Radial Velocity,2013.0,8.63182,3.25,10.6,438.49,15.1285,1,3
GJ 163 c,GJ 163,Radial Velocity,2013.0,25.63058,2.5,6.8,305.07,15.1285,1,3
GJ 163 d,GJ 163,Radial Velocity,2013.0,603.95116,5.92,29.4,106.43,15.1285,1,3
GJ 179 b,GJ 179,Radial Velocity,2009.0,2288.0,13.8,301.93698665,64.53,12.356,1,1
GJ 180 b,GJ 180,Radial Velocity,2014.0,17.133,2.43,6.49,344.43,11.9407,1,3
GJ 180 c,GJ 180,Radial Velocity,2014.0,24.329,2.41,6.4,290.87,11.9407,1,3
GJ 180 d,GJ 180,Radial Velocity,2020.0,106.3,2.66,7.56,187.94,11.9407,1,3
GJ 2030 b,GJ 2030,Radial Velocity,2022.0,2.38129,2.03,4.76742611,2147.31,37.0788,1,2
GJ 2030 c,GJ 2030,Radial Velocity,2022.0,25533.11353,12.3,4069.15709482,96.71,37.0788,1,2
GJ 2056 b,GJ 2056,Radial Velocity,2020.0,69.971,4.17,16.2,310.74,28.4434,1,1
GJ 2126 b,GJ 2126,Radial Velocity,2025.0,272.7,13.6,413.1769291,203.08,38.129,1,1
GJ 229 A c,GJ 229,Radial Velocity,2020.0,121.93268,2.87,8.58136699,188.1,5.75624,3,2
GJ 229 b,GJ 229,Radial Velocity,2014.0,579.47495,3.97,14.93793513,111.85,5.75624,3,2
GJ 238 b,GJ 238,Transit,2024.0,1.7446999,0.566,0.126,758.0,15.2142,1,1
GJ 251 b,GJ 251,Radial Velocity,2020.0,14.237,1.79,3.85,336.0,5.58057,1,2
GJ 251 c,GJ 251,Radial Velocity,2025.0,53.647,1.8,3.88,216.0,5.58057,1,2
GJ 27.1 b,GJ 27.1,Radial Velocity,2014.0,15.819,3.66,13.0,387.13,23.6062,1,1
GJ 273 b,GJ 273,Radial Velocity,2017.0,18.6498,1.51,2.89,292.47,5.921535,1,2
GJ 273 c,GJ 273,Radial Velocity,2017.0,4.7234,1.06,1.18,462.26,5.921535,1,2
GJ 3021 b,GJ 3021,Radial Velocity,2000.0,133.71,13.1,1071.04,350.0,17.5559,2,1
GJ 3082 b,GJ 3082,Radial Velocity,2020.0,11.949,2.79,8.2,457.53,16.6186,1,1
GJ 3090 b,GJ 3090,Transit,2022.0,2.85310198,2.18,4.52,723.0,22.4751,1,2
GJ 3090 c,GJ 3090,Radial Velocity,2026.0,15.9407,3.14,10.0,407.2,22.4751,1,2
GJ 3138 b,GJ 3138,Radial Velocity,2017.0,1.22003,1.18,1.78,902.98,28.4712,1,3
GJ 3138 c,GJ 3138,Radial Velocity,2017.0,5.974,1.88,4.18,530.85,28.4712,1,3
GJ 3138 d,GJ 3138,Radial Velocity,2017.0,257.8,3.23,10.5,151.7,28.4712,1,3
GJ 317 b,GJ 317,Radial Velocity,2007.0,695.69,13.3,794.5,100.32,15.1968,1,2
