planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,distance_lightyears,num_stars,num_planets
HD 86081 b,HD 86081,Radial Velocity,2006.0,2.1378431,13.6,470.3884,1860.31,103.936,2,1
HD 86226 b,HD 86226,Radial Velocity,2009.0,1628.0,14.3,143.0235,176.0,45.683,1,2
HD 86226 c,HD 86226,Transit,2020.0,3.98442,2.16,7.25,1311.0,45.683,1,2
HD 86264 b,HD 86264,Radial Velocity,2009.0,1488.79123,12.5,3117.26101586,247.01,67.8107,1,1
HD 86728 b,HD 86728,Radial Velocity,2025.0,31.1515,3.03,9.43,687.36,14.9202,1,1
HD 8673 b,HD 8673,Radial Velocity,2009.0,1644.69097,12.3,4210.59073594,219.11,37.8619,2,1
HD 86950 b,HD 86950,Radial Velocity,2016.0,1270.0,13.0,1144.188,416.76,209.839,1,1
HD 87646 b,HD 87646,Radial Velocity,2016.0,13.481,12.4,3941.092,1012.7,73.58352,3,1
HD 87816 b,HD 87816,Radial Velocity,2025.0,484.17,12.7,2142.16346318,567.39,133.233,1,2
HD 87816 c,HD 87816,Radial Velocity,2025.0,7596.0,12.4,3877.5065654,226.65,133.233,1,2
HD 87883 b,HD 87883,Radial Velocity,2009.0,3006.0,12.7,2005.49724817,110.52,18.2912,1,1
HD 88072 b,HD 88072,Radial Velocity,2022.0,18538.79293,12.6,2511.79790052,76.03,35.9098,1,1
HD 88133 b,HD 88133,Radial Velocity,2004.0,3.414884,13.8,324.1866,1762.08,73.6123,1,1
HD 88986 b,HD 88986,Radial Velocity,2023.0,146.05,2.49,17.2,460.0,33.2673,1,1
HD 89307 b,HD 89307,Radial Velocity,2009.0,2166.0,13.4,642.01338214,166.55,32.0104,1,1
HD 89345 b,HD 89345,Transit,2018.0,11.8143,7.39794,34.9613,1089.0,132.345,1,1
HD 89744 b,HD 89744,Radial Velocity,1999.0,256.78,12.6,2653.8805,462.62,38.6364,2,1
HD 89839 b,HD 89839,Radial Velocity,2023.0,3391.2,12.8,1748.0562385,159.03,57.3063,1,1
HD 90156 b,HD 90156,Radial Velocity,2009.0,49.77,4.43,17.98,518.01,21.9496,1,1
HD 9174 b,HD 9174,Radial Velocity,2016.0,1179.0,13.7,352.7913,234.3,81.4893,1,1
HD 92788 b,HD 92788,Radial Velocity,2000.0,325.803,13.0,1195.0408,300.27,34.6538,1,2
HD 92788 c,HD 92788,Radial Velocity,2019.0,11611.2975,13.0,1166.4361,91.27,34.6538,1,2
HD 93083 b,HD 93083,Radial Velocity,2005.0,144.72,14.3,143.34061156,311.57,28.5159,1,2
HD 93351 b,HD 93351,Radial Velocity,2022.0,2.45946,1.69,3.49611248,1330.76,56.163,1,2
HD 93351 c,HD 93351,Radial Velocity,2022.0,14010.2941,12.3,4154.01727949,74.54,56.163,1,2
HD 93385 b,HD 93385,Radial Velocity,2021.0,7.3426,1.88,4.2,1141.0,43.3475,1,3
HD 93385 c,HD 93385,Radial Velocity,2021.0,13.18,2.56,7.1,937.43,43.3475,1,3
HD 93385 d,HD 93385,Radial Velocity,2021.0,45.85,2.89,8.7,619.44,43.3475,1,3
HD 93963 A b,HD 93963 A,Transit,2022.0,1.0376109,1.46954368,2.8,1842.23,82.3432,2,2
HD 93963 A c,HD 93963 A,Transit,2022.0,3.6451389,3.11976057,18.4,1212.45,82.3432,2,2
HD 9446 b,HD 9446,Radial Velocity,2009.0,30.052,14.0,222.472,642.55,50.3503,1,2
HD 9446 c,HD 9446,Radial Velocity,2009.0,192.9,13.4,578.426,345.42,50.3503,1,2
HD 94771 b,HD 94771,Radial Velocity,2023.0,2164.0,14.2,169.0,200.79,57.7807,1,1
HD 94834 b,HD 94834,Radial Velocity,2018.0,1576.0,13.7,400.4658,286.45,98.1609,1,1
HD 94890 b,HD 94890,Radial Velocity,2025.0,824.61,13.3,676.97450691,533.83,61.7012,1,2
HD 94890 c,HD 94890,Radial Velocity,2025.0,2492.19,12.5,2831.85110637,369.1,61.7012,1,2
HD 95086 b,HD 95086,Imaging,2013.0,10.671380845,12.9,1589.0,1000.0,86.2279,1,1
HD 95089 b,HD 95089,Radial Velocity,2009.0,464.4,13.7,400.4658,458.34,136.957,1,2
HD 95089 c,HD 95089,Radial Velocity,2016.0,1785.0,13.1,1096.5135,292.91,136.957,1,2
HD 95127 b,HD 95127,Radial Velocity,2015.0,482.0,12.4,3378.5329,1151.28,676.579,1,1
HD 95338 b,HD 95338,Radial Velocity,2020.0,55.082694,4.27174254,42.9,443.0,36.9941,1,1
HD 95544 b,HD 95544,Radial Velocity,2021.0,2041.54152,12.8,1913.64483855,156.5,87.8049,1,1
HD 95735 c,GJ 411,Radial Velocity,2021.0,2946.0,3.76,13.6,63.49,5.675773,1,2
